,NU_ANO,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
1001,2019,M,1,3,1,2,2,1.0,2510006.0,Nazarezinho,PB,389.1,522.2,492.5,431.7,560.0
1002,2019,F,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,368.6,472.2,480.1,409.7,440.0
1003,2019,F,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,499.1,531.3,552.7,582.5,740.0
1004,2019,F,1,3,1,2,2,1.0,2515807.0,Serra Redonda,PB,379.9,442.3,495.5,541.8,600.0
1005,2019,M,1,2,1,2,2,1.0,2502508.0,Boqueirão,PB,443.4,386.9,501.5,365.9,580.0
1006,2019,M,1,1,1,2,2,1.0,2510501.0,Olivedos,PB,566.1,599.7,556.3,668.7,940.0
1007,2019,M,1,1,1,2,2,1.0,2502607.0,Igaracy,PB,404.7,553.4,472.8,490.8,820.0
1008,2019,M,1,3,1,2,2,1.0,2502003.0,Belém do Brejo do Cruz,PB,356.3,369.0,447.0,405.7,680.0
1009,2019,F,1,3,1,2,2,1.0,2516201.0,Sousa,PB,363.8,454.0,446.2,411.8,460.0
1010,2019,M,1,3,1,2,2,1.0,2512101.0,Pombal,PB,589.3,650.1,577.0,700.0,800.0
1011,2019,F,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,442.6,510.1,520.3,362.8,540.0
1012,2019,F,1,3,1,2,2,1.0,2515500.0,Serra Branca,PB,337.8,398.9,411.1,370.8,580.0
1013,2019,F,1,1,1,2,2,1.0,2510501.0,Olivedos,PB,514.7,584.1,557.4,534.9,680.0
1014,2019,M,1,3,1,2,2,1.0,2507804.0,Junco do Seridó,PB,476.2,548.4,541.5,532.8,640.0
1015,2019,M,1,2,1,2,2,1.0,2507507.0,João Pessoa,PB,426.4,506.6,427.6,398.5,540.0
1016,2019,M,1,2,1,2,2,1.0,2503209.0,Cabedelo,PB,392.6,442.6,530.7,466.1,640.0
1017,2019,M,1,3,1,2,2,1.0,2511400.0,Picuí,PB,421.6,483.2,527.3,579.8,620.0
1018,2019,F,1,1,1,2,2,1.0,2500809.0,Araçagi,PB,508.9,513.6,517.6,511.6,920.0
1019,2019,M,1,3,1,2,2,1.0,2511202.0,Pedras de Fogo,PB,427.5,401.7,417.4,374.3,520.0
1020,2019,M,1,1,1,2,2,1.0,2516151.0,Sossêgo,PB,416.5,396.4,385.1,550.9,540.0
1021,2019,M,1,2,1,2,2,1.0,2503209.0,Cabedelo,PB,385.4,373.3,440.7,399.0,640.0
1022,2019,F,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,420.2,524.2,541.9,395.3,440.0
1023,2019,F,1,3,1,2,2,1.0,2511202.0,Pedras de Fogo,PB,441.2,511.6,465.5,462.4,800.0
1024,2019,M,1,3,1,2,2,1.0,2511400.0,Picuí,PB,599.3,644.8,594.9,752.1,920.0
1025,2019,M,1,1,1,2,2,1.0,2507507.0,João Pessoa,PB,601.4,579.1,531.7,699.5,940.0
1026,2019,M,1,2,1,2,2,1.0,2507002.0,Itaporanga,PB,584.7,588.5,555.4,574.2,720.0
1027,2019,M,1,2,1,2,2,1.0,2516003.0,Solânea,PB,491.6,595.5,617.9,542.5,720.0
1028,2019,F,1,4,1,2,2,1.0,2501807.0,Bayeux,PB,406.1,425.7,386.9,391.3,500.0
1029,2019,F,1,3,1,2,2,1.0,2514404.0,São José de Espinharas,PB,471.4,521.2,513.8,362.2,620.0
